position,name,height,foot,current league,current club,24/25 minutes,24/25 goals,24/25 games,24/25 assists,23/24 minutes,23/24 goals,23/24 games,23/24 assists,22/23 minutes,22/23 goals,22/23 games,22/23 assists,21/22 minutes,21/22 goals,21/22 games,21/22 assists,20/21 minutes,20/21 goals,20/21 games,20/21 assists,19/20 minutes,19/20 goals,19/20 games,19/20 assists,18/19 minutes,18/19 goals,18/19 games,18/19 assists,17/18 minutes,17/18 goals,17/18 games,17/18 assists,16/17 minutes,16/17 goals,16/17 games,16/17 assists
Left Winger,Yoann Cathline,176.0,right,Eredivisie,FC Utrecht,728.0,3.0,10.0,2.0,1935.0,6.0,31.0,4.0,1644.0,3.0,32.0,1.0,906.0,3.0,27.0,1.0,83.0,0.0,3.0,0.0,240.0,0.0,2.0,0.0,,,,,,,,,,,,
Right Winger,Elves Baldé,169.0,right,Liga Portugal,SC Farense,420.0,2.0,10.0,0.0,1080.0,1.0,32.0,3.0,895.0,3.0,23.0,2.0,1645.0,4.0,33.0,7.0,,,,,398.0,0.0,11.0,0.0,526.0,3.0,14.0,1.0,472.0,2.0,7.0,1.0,527.0,0.0,10.0,0.0
Attacking Midfield,Pablo Marín,178.0,right,LaLiga,Real Sociedad,261.0,1.0,6.0,0.0,2347.0,3.0,27.0,2.0,2614.0,4.0,45.0,3.0,1155.0,7.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,
Back,Sead Kolasinac,183.0,left,Serie A,Atalanta BC,1004.0,1.0,13.0,1.0,3200.0,1.0,43.0,1.0,2668.0,4.0,41.0,1.0,853.0,0.0,22.0,1.0,2214.0,1.0,27.0,1.0,2045.0,0.0,32.0,2.0,2789.0,0.0,36.0,7.0,2625.0,5.0,36.0,4.0,2893.0,3.0,36.0,9.0
Attacking Midfield,Chuki,,left,LaLiga,Real Valladolid CF,145.0,0.0,5.0,1.0,1895.0,6.0,24.0,1.0,1673.0,8.0,28.0,1.0,570.0,1.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,
Back,Giorgio Altare,190.0,right,Serie A,Venezia FC,344.0,0.0,6.0,0.0,2291.0,4.0,35.0,3.0,2314.0,2.0,31.0,0.0,1604.0,1.0,22.0,0.0,3319.0,2.0,37.0,0.0,1116.0,1.0,13.0,1.0,364.0,0.0,7.0,0.0,2577.0,2.0,30.0,1.0,1721.0,3.0,23.0,2.0
Defensive Midfield,Angelo Stiller,183.0,left,Bundesliga,VfB Stuttgart,1555.0,1.0,19.0,2.0,3141.0,1.0,36.0,6.0,852.0,1.0,23.0,2.0,1946.0,3.0,29.0,2.0,2879.0,1.0,36.0,5.0,2734.0,3.0,33.0,12.0,2741.0,2.0,31.0,7.0,2371.0,3.0,29.0,5.0,,,,
Forward,Bica,180.0,right,Liga Portugal,Vitória Guimarães SC,57.0,0.0,5.0,0.0,994.0,3.0,18.0,2.0,,,,,1196.0,10.0,17.0,2.0,473.0,2.0,7.0,0.0,,,,,,,,,,,,,,,,
Back,Gilles Ruyssen,186.0,right,Jupiler Pro League,FCV Dender EH,1310.0,0.0,15.0,0.0,1944.0,1.0,24.0,0.0,1734.0,2.0,23.0,1.0,2672.0,4.0,30.0,1.0,2582.0,0.0,29.0,0.0,1172.0,3.0,15.0,0.0,2496.0,1.0,29.0,0.0,2860.0,4.0,34.0,0.0,455.0,0.0,10.0,0.0
Back,Konstantinos Mavropanos,194.0,right,Premier League,West Ham United,728.0,0.0,11.0,0.0,2706.0,1.0,33.0,0.0,2725.0,3.0,34.0,1.0,2854.0,5.0,33.0,1.0,1550.0,0.0,22.0,0.0,1924.0,0.0,23.0,0.0,310.0,0.0,6.0,0.0,2004.0,3.0,24.0,1.0,1519.0,3.0,18.0,0.0
Central Midfield,Kees Smit,182.0,right,Eredivisie,AZ Alkmaar,945.0,5.0,13.0,3.0,3028.0,6.0,39.0,4.0,3026.0,4.0,41.0,9.0,789.0,0.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,
Forward,Andrés Ferrari,190.0,right,Jupiler Pro League,Sint-Truidense VV,282.0,3.0,9.0,1.0,599.0,2.0,31.0,0.0,734.0,5.0,11.0,2.0,891.0,5.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,
Attacking Midfield,Viktor Okishor,185.0,right,Premier Liga,Dynamo 2 Moscow,184.0,2.0,6.0,1.0,2342.0,7.0,37.0,13.0,2002.0,5.0,38.0,4.0,313.0,1.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,
Back,Samet Akaydin,190.0,right,Süper Lig,Fenerbahce,284.0,1.0,4.0,0.0,1686.0,0.0,26.0,1.0,3562.0,2.0,40.0,0.0,3100.0,3.0,35.0,0.0,1666.0,1.0,22.0,0.0,2970.0,3.0,33.0,0.0,3019.0,3.0,34.0,0.0,2857.0,2.0,32.0,0.0,3441.0,0.0,39.0,0.0
Forward,Felipe Augusto,187.0,left,Jupiler Pro League,Cercle Brugge,1078.0,2.0,22.0,2.0,909.0,2.0,18.0,1.0,1325.0,9.0,34.0,0.0,549.0,2.0,14.0,0.0,28.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,
Defensive Midfield,Dmitriy Vasiljev,184.0,right,Premier Liga,Zenit St. Petersburg,380.0,2.0,8.0,0.0,486.0,0.0,16.0,0.0,717.0,4.0,10.0,0.0,1827.0,7.0,26.0,6.0,1065.0,2.0,17.0,2.0,,,,,,,,,,,,,,,,
Central Midfield,Zaim Divanovic,179.0,right,Premier Liga,Akhmat Grozny,359.0,0.0,9.0,0.0,434.0,0.0,9.0,0.0,716.0,0.0,11.0,2.0,2602.0,4.0,41.0,4.0,2906.0,5.0,37.0,0.0,1960.0,2.0,25.0,0.0,2220.0,0.0,33.0,0.0,1634.0,4.0,24.0,0.0,333.0,0.0,6.0,0.0
Defensive Midfield,İsmail Yüksek,183.0,right,Süper Lig,Fenerbahce,1054.0,0.0,17.0,0.0,3555.0,1.0,47.0,6.0,1672.0,1.0,32.0,1.0,1938.0,3.0,30.0,2.0,1169.0,1.0,20.0,1.0,2321.0,8.0,27.0,1.0,1616.0,1.0,23.0,2.0,,,,,,,,
Central Midfield,Jan Schöppner,190.0,right,Bundesliga,1.FC Heidenheim 1846,1113.0,3.0,16.0,0.0,2045.0,2.0,27.0,2.0,2224.0,1.0,28.0,1.0,2366.0,1.0,33.0,2.0,1445.0,0.0,23.0,0.0,2471.0,7.0,29.0,3.0,834.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,,,,
Defensive Midfield,Sivert Mannsverk,185.0,right,Eredivisie,Ajax Amsterdam,180.0,0.0,2.0,0.0,1750.0,0.0,25.0,1.0,2606.0,6.0,30.0,1.0,2381.0,1.0,31.0,0.0,2081.0,2.0,27.0,1.0,2827.0,5.0,33.0,5.0,1242.0,1.0,18.0,2.0,,,,,0.0,0.0,0.0,0.0
Back,Federico Gatti,190.0,right,Serie A,Juventus FC,1211.0,0.0,15.0,0.0,3000.0,4.0,36.0,0.0,2152.0,2.0,27.0,0.0,3206.0,5.0,36.0,2.0,3112.0,1.0,36.0,0.0,1847.0,3.0,22.0,0.0,,,,,,,,,,,,
Left Winger,Ilias Sebaoui,180.0,right,Eredivisie,SC Heerenveen,955.0,0.0,15.0,0.0,3520.0,11.0,42.0,7.0,1297.0,1.0,32.0,1.0,683.0,3.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,
Back,Taylor Harwood-Bellis,188.0,right,Premier League,Southampton FC,1131.0,3.0,14.0,0.0,3942.0,2.0,46.0,4.0,2889.0,1.0,35.0,2.0,3505.0,0.0,43.0,3.0,2578.0,2.0,32.0,0.0,2662.0,3.0,32.0,0.0,2346.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,,,,
Central Midfield,Connor Metcalfe,183.0,left,Bundesliga,FC St. Pauli,298.0,0.0,5.0,0.0,2010.0,3.0,33.0,5.0,1361.0,3.0,31.0,2.0,2408.0,2.0,29.0,4.0,2146.0,5.0,25.0,3.0,919.0,2.0,18.0,2.0,317.0,0.0,8.0,1.0,5.0,0.0,1.0,0.0,,,,
Left Winger,Ibrahim Osman,179.0,right,Eredivisie,Feyenoord Rotterdam,641.0,2.0,11.0,2.0,2870.0,10.0,44.0,8.0,702.0,3.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Central Midfield,Saša Lukić,182.0,right,Premier League,Fulham FC,654.0,0.0,10.0,0.0,1397.0,1.0,28.0,0.0,1984.0,3.0,32.0,1.0,3067.0,5.0,36.0,4.0,2199.0,3.0,34.0,1.0,2280.0,1.0,36.0,0.0,1098.0,2.0,27.0,0.0,1176.0,0.0,19.0,2.0,835.0,0.0,15.0,0.0
Back,Jonathan Tah,195.0,right,Bundesliga,Bayer 04 Leverkusen,1669.0,1.0,19.0,0.0,3984.0,6.0,48.0,1.0,3710.0,1.0,47.0,0.0,3647.0,2.0,42.0,3.0,2841.0,1.0,35.0,1.0,3138.0,0.0,39.0,1.0,3389.0,3.0,38.0,1.0,2937.0,0.0,33.0,2.0,2297.0,1.0,26.0,1.0
Forward,Matias Fernandez-Pardo,188.0,right,Ligue 1,LOSC Lille,881.0,3.0,19.0,2.0,2017.0,10.0,31.0,2.0,2178.0,2.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Midfield,Dmytro Ivanisenya,187.0,both,Premier Liga,Krylya Sovetov Samara,360.0,0.0,11.0,0.0,837.0,0.0,20.0,0.0,170.0,0.0,3.0,0.0,1371.0,0.0,17.0,0.0,2501.0,7.0,31.0,3.0,2979.0,1.0,37.0,0.0,1339.0,3.0,19.0,3.0,2923.0,4.0,37.0,3.0,829.0,0.0,14.0,1.0
Central Midfield,Nicolas Seiwald,179.0,right,Bundesliga,RB Leipzig,620.0,0.0,12.0,0.0,1134.0,0.0,27.0,2.0,3638.0,4.0,43.0,3.0,3655.0,1.0,47.0,10.0,1574.0,2.0,29.0,5.0,2861.0,6.0,33.0,6.0,1959.0,2.0,24.0,0.0,1659.0,0.0,21.0,0.0,90.0,0.0,1.0,0.0
Defensive Midfield,Okay Yokuşlu,191.0,right,Süper Lig,Trabzonspor,1089.0,1.0,15.0,2.0,3513.0,1.0,48.0,1.0,3043.0,4.0,41.0,0.0,656.0,0.0,20.0,0.0,1927.0,0.0,30.0,1.0,1976.0,0.0,26.0,2.0,2349.0,2.0,32.0,0.0,2912.0,2.0,33.0,3.0,2834.0,5.0,37.0,4.0
Back,Riechedly Bazoer,184.0,right,Süper Lig,Konyaspor,762.0,0.0,10.0,2.0,3336.0,0.0,42.0,2.0,489.0,0.0,25.0,0.0,3475.0,2.0,45.0,4.0,2891.0,5.0,34.0,1.0,1988.0,3.0,25.0,2.0,1289.0,4.0,19.0,4.0,680.0,0.0,14.0,0.0,1600.0,1.0,23.0,1.0
Attacking Midfield,Nikita Ermakov,183.0,right,Premier Liga,FC Pari Nizhniy Novgorod,857.0,0.0,17.0,1.0,1018.0,1.0,24.0,2.0,864.0,2.0,31.0,0.0,1868.0,9.0,23.0,3.0,1276.0,3.0,17.0,4.0,170.0,0.0,3.0,0.0,,,,,,,,,,,,
Back,Arlind Ajeti,184.0,right,Süper Lig,Bodrum FK,899.0,0.0,10.0,0.0,2109.0,3.0,25.0,0.0,2841.0,6.0,33.0,0.0,2001.0,1.0,26.0,0.0,1873.0,2.0,25.0,0.0,317.0,0.0,8.0,0.0,1310.0,2.0,16.0,0.0,1355.0,0.0,23.0,1.0,369.0,1.0,5.0,0.0
Defensive Midfield,Jerdy Schouten,185.0,right,Eredivisie,PSV Eindhoven,758.0,2.0,10.0,0.0,3296.0,4.0,40.0,0.0,2725.0,0.0,36.0,3.0,1483.0,1.0,18.0,1.0,2545.0,1.0,35.0,1.0,1127.0,0.0,20.0,1.0,3115.0,1.0,35.0,2.0,3341.0,4.0,40.0,2.0,311.0,2.0,7.0,0.0
Back,Dan Burn,198.0,left,Premier League,Newcastle United,1099.0,0.0,14.0,0.0,3432.0,4.0,43.0,2.0,3632.0,2.0,44.0,0.0,2717.0,1.0,32.0,1.0,2509.0,1.0,32.0,0.0,2881.0,0.0,34.0,0.0,1515.0,0.0,17.0,0.0,4699.0,6.0,53.0,2.0,3729.0,1.0,44.0,0.0
Back,Ar'jany Martha,,left,Jupiler Pro League,Beerschot VA,399.0,0.0,11.0,1.0,2612.0,0.0,35.0,4.0,1411.0,3.0,30.0,2.0,1110.0,3.0,28.0,1.0,1852.0,3.0,31.0,1.0,1923.0,6.0,25.0,5.0,,,,,,,,,,,,
Back,James Justin,183.0,both,Premier League,Leicester City,1073.0,2.0,12.0,1.0,2974.0,2.0,45.0,2.0,1316.0,1.0,15.0,1.0,1466.0,0.0,20.0,0.0,2693.0,3.0,31.0,1.0,1460.0,1.0,18.0,2.0,3920.0,3.0,52.0,9.0,1404.0,2.0,22.0,0.0,3043.0,1.0,39.0,4.0
Defensive Midfield,Yves Bissouma,182.0,right,Premier League,Tottenham Hotspur,808.0,2.0,14.0,0.0,2083.0,0.0,28.0,0.0,1273.0,0.0,28.0,0.0,2233.0,2.0,28.0,2.0,3335.0,2.0,39.0,0.0,1325.0,1.0,23.0,0.0,2295.0,1.0,34.0,1.0,2120.0,4.0,31.0,1.0,1613.0,3.0,34.0,1.0
Attacking Midfield,Isaías Delpupo,176.0,left,Jupiler Pro League,Sint-Truidense VV,140.0,0.0,7.0,0.0,1803.0,10.0,38.0,3.0,1051.0,2.0,16.0,3.0,1212.0,1.0,20.0,0.0,1578.0,2.0,26.0,1.0,57.0,0.0,2.0,0.0,,,,,,,,,,,,
Central Midfield,Jack Hinshelwood,182.0,right,Premier League,Brighton & Hove Albion,955.0,1.0,12.0,0.0,1667.0,3.0,23.0,0.0,2479.0,5.0,30.0,5.0,2042.0,6.0,23.0,6.0,491.0,0.0,9.0,1.0,,,,,,,,,,,,,,,,
Central Midfield,Matheus Nunes,183.0,right,Premier League,Manchester City,858.0,3.0,15.0,5.0,1540.0,0.0,31.0,5.0,2939.0,2.0,41.0,2.0,3693.0,4.0,50.0,5.0,1709.0,3.0,39.0,3.0,2970.0,3.0,40.0,3.0,581.0,0.0,11.0,0.0,,,,,,,,
Central Midfield,Mithat Pala,172.0,right,Süper Lig,Caykur Rizespor,364.0,0.0,10.0,0.0,1729.0,1.0,28.0,2.0,2417.0,2.0,35.0,2.0,3102.0,8.0,37.0,1.0,207.0,0.0,8.0,2.0,1874.0,4.0,28.0,4.0,,,,,,,,,,,,
Back,Malick Thiaw,194.0,right,Serie A,AC Milan,637.0,1.0,8.0,0.0,2161.0,0.0,30.0,1.0,1908.0,0.0,27.0,0.0,2596.0,2.0,32.0,0.0,1892.0,1.0,25.0,0.0,2128.0,9.0,27.0,1.0,2997.0,0.0,35.0,2.0,1743.0,2.0,23.0,2.0,,,,
Left Winger,Gerrit Holtmann,185.0,left,Bundesliga,VfL Bochum,204.0,0.0,4.0,0.0,651.0,1.0,18.0,1.0,1112.0,1.0,26.0,2.0,2169.0,5.0,33.0,7.0,2463.0,5.0,33.0,6.0,1200.0,1.0,26.0,0.0,371.0,0.0,7.0,0.0,1069.0,2.0,19.0,1.0,577.0,0.0,12.0,1.0
Attacking Midfield,Maksim Kuzmin,180.0,right,Premier Liga,Akron Togliatti,1212.0,0.0,20.0,1.0,1616.0,3.0,36.0,7.0,1727.0,2.0,26.0,6.0,2066.0,0.0,30.0,4.0,2555.0,1.0,37.0,8.0,2094.0,2.0,26.0,4.0,2484.0,1.0,33.0,7.0,1903.0,4.0,25.0,3.0,994.0,2.0,26.0,3.0
Central Midfield,Ben Lhassine Kone,172.0,left,Serie A,Como 1907,62.0,1.0,1.0,0.0,759.0,0.0,14.0,1.0,1132.0,3.0,20.0,0.0,777.0,1.0,18.0,1.0,1398.0,2.0,29.0,0.0,205.0,0.0,7.0,1.0,2543.0,4.0,35.0,5.0,2322.0,4.0,36.0,7.0,,,,
Central Midfield,Evert Linthorst,187.0,right,Eredivisie,Go Ahead Eagles,1095.0,0.0,15.0,1.0,2737.0,1.0,36.0,1.0,1451.0,1.0,24.0,0.0,275.0,0.0,9.0,1.0,1914.0,3.0,29.0,5.0,1693.0,5.0,22.0,1.0,1055.0,2.0,18.0,0.0,793.0,3.0,13.0,0.0,,,,
Back,Julian Ryerson,183.0,right,Bundesliga,Borussia Dortmund,1149.0,1.0,15.0,1.0,2940.0,4.0,34.0,1.0,3239.0,1.0,41.0,1.0,1647.0,3.0,36.0,0.0,1077.0,0.0,26.0,2.0,538.0,0.0,17.0,1.0,403.0,0.0,9.0,0.0,1440.0,3.0,16.0,1.0,2643.0,3.0,30.0,2.0
Back,Ulisses Garcia,182.0,left,Ligue 1,Olympique Marseille,334.0,1.0,7.0,1.0,2623.0,1.0,38.0,5.0,2432.0,2.0,34.0,10.0,2907.0,4.0,39.0,7.0,1960.0,1.0,33.0,3.0,2875.0,1.0,39.0,11.0,1467.0,4.0,30.0,4.0,289.0,0.0,6.0,0.0,620.0,1.0,10.0,1.0
Back,Bas Kuipers,180.0,left,Eredivisie,Twente Enschede FC,531.0,0.0,14.0,2.0,3463.0,5.0,38.0,5.0,1906.0,3.0,23.0,1.0,2835.0,0.0,34.0,3.0,3445.0,5.0,39.0,5.0,2757.0,0.0,32.0,1.0,1047.0,0.0,14.0,1.0,954.0,2.0,13.0,0.0,2177.0,0.0,26.0,0.0
Back,Tymoteusz Puchacz,180.0,left,Bundesliga,Holstein Kiel,457.0,0.0,11.0,1.0,3039.0,1.0,36.0,13.0,682.0,1.0,19.0,0.0,1473.0,0.0,20.0,2.0,3133.0,3.0,41.0,6.0,2880.0,4.0,40.0,6.0,2281.0,4.0,29.0,1.0,2790.0,0.0,31.0,1.0,2043.0,2.0,27.0,0.0
Right Winger,Savinho,176.0,left,Premier League,Manchester City,1041.0,0.0,16.0,5.0,3253.0,11.0,41.0,10.0,724.0,2.0,17.0,4.0,410.0,2.0,14.0,0.0,552.0,0.0,15.0,0.0,161.0,0.0,8.0,0.0,,,,,,,,,,,,
Back,Borna Barisic,186.0,left,Süper Lig,Trabzonspor,354.0,0.0,10.0,1.0,2461.0,1.0,35.0,6.0,3855.0,2.0,46.0,13.0,3549.0,0.0,43.0,3.0,4239.0,5.0,50.0,14.0,3456.0,2.0,40.0,14.0,2210.0,1.0,27.0,7.0,2634.0,3.0,31.0,5.0,3240.0,1.0,36.0,7.0
Back,Stefan Lainer,175.0,right,Bundesliga,Borussia Mönchengladbach,288.0,0.0,7.0,0.0,758.0,0.0,16.0,1.0,833.0,0.0,18.0,0.0,1637.0,1.0,23.0,3.0,3728.0,2.0,45.0,6.0,3433.0,1.0,39.0,4.0,3811.0,1.0,43.0,9.0,4741.0,2.0,55.0,11.0,3531.0,8.0,45.0,11.0
Left Winger,Madson,164.0,left,Liga Portugal,Moreirense FC,893.0,2.0,14.0,1.0,1442.0,5.0,27.0,1.0,1016.0,4.0,31.0,2.0,2069.0,4.0,29.0,5.0,1558.0,0.0,24.0,2.0,807.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,1435.0,0.0,18.0,1.0,69.0,0.0,1.0,0.0
Back,Dominik Oroz,192.0,right,Premier Liga,Krylya Sovetov Samara,237.0,2.0,3.0,0.0,2193.0,2.0,31.0,1.0,1588.0,1.0,28.0,0.0,1591.0,3.0,35.0,0.0,1468.0,3.0,21.0,0.0,2054.0,0.0,29.0,1.0,2001.0,4.0,23.0,0.0,1391.0,0.0,18.0,0.0,20.0,0.0,2.0,0.0
Central Midfield,Youssef Maleh,179.0,left,Serie A,FC Empoli,594.0,0.0,9.0,0.0,2610.0,0.0,34.0,1.0,1218.0,0.0,29.0,1.0,1339.0,3.0,33.0,4.0,2696.0,5.0,33.0,6.0,2181.0,1.0,30.0,2.0,1793.0,1.0,25.0,1.0,610.0,0.0,10.0,0.0,1546.0,5.0,20.0,2.0
Back,Issa Diop,194.0,right,Premier League,Fulham FC,480.0,0.0,8.0,0.0,1949.0,1.0,25.0,0.0,2369.0,1.0,29.0,1.0,1998.0,1.0,26.0,2.0,1588.0,2.0,21.0,0.0,3126.0,3.0,36.0,1.0,3420.0,2.0,38.0,0.0,3690.0,3.0,41.0,1.0,2820.0,2.0,31.0,2.0
Central Midfield,Djaoui Cissé,188.0,right,Ligue 1,Stade Rennais FC,308.0,0.0,5.0,0.0,1429.0,4.0,18.0,0.0,1997.0,1.0,25.0,1.0,2484.0,10.0,32.0,6.0,,,,,,,,,,,,,,,,,,,,
Left Winger,Luis Henrique,181.0,right,Ligue 1,Olympique Marseille,867.0,5.0,12.0,4.0,1211.0,1.0,24.0,0.0,2528.0,6.0,59.0,4.0,1114.0,1.0,35.0,1.0,832.0,0.0,24.0,5.0,1625.0,2.0,19.0,4.0,123.0,0.0,2.0,1.0,,,,,,,,
Defensive Midfield,Enric Llansana,183.0,right,Eredivisie,Go Ahead Eagles,1166.0,2.0,14.0,1.0,1381.0,3.0,30.0,0.0,1221.0,0.0,23.0,1.0,2013.0,1.0,24.0,1.0,2531.0,3.0,33.0,2.0,2211.0,3.0,28.0,2.0,2486.0,2.0,30.0,0.0,2107.0,1.0,25.0,0.0,65.0,0.0,3.0,0.0
Defensive Midfield,Yacine Adli,186.0,right,Serie A,ACF Fiorentina,683.0,3.0,14.0,3.0,1860.0,1.0,33.0,2.0,140.0,0.0,6.0,0.0,2263.0,1.0,36.0,8.0,2453.0,2.0,36.0,5.0,1293.0,3.0,25.0,3.0,995.0,1.0,18.0,1.0,958.0,4.0,17.0,0.0,238.0,0.0,6.0,1.0
Central Midfield,Idrissa Gueye,174.0,right,Premier League,Everton FC,847.0,0.0,12.0,0.0,2057.0,4.0,29.0,0.0,2683.0,0.0,34.0,1.0,2044.0,4.0,33.0,1.0,2434.0,2.0,44.0,2.0,2645.0,1.0,34.0,3.0,3005.0,0.0,35.0,2.0,3133.0,3.0,38.0,1.0,2866.0,1.0,35.0,1.0
Back,Sergey Bozhin,187.0,left,Premier Liga,Fakel Voronezh,972.0,0.0,12.0,0.0,2385.0,2.0,27.0,0.0,2366.0,2.0,27.0,3.0,452.0,0.0,6.0,1.0,2751.0,2.0,35.0,3.0,2640.0,5.0,29.0,2.0,3330.0,2.0,37.0,1.0,1710.0,2.0,19.0,0.0,1008.0,0.0,15.0,0.0
Attacking Midfield,Levi Smans,175.0,right,Eredivisie,SC Heerenveen,641.0,2.0,14.0,0.0,3021.0,9.0,36.0,6.0,1290.0,2.0,23.0,1.0,1010.0,1.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,
Defensive Midfield,William Carvalho,187.0,right,LaLiga,Real Betis Balompié,253.0,0.0,5.0,0.0,1263.0,1.0,30.0,4.0,3015.0,4.0,43.0,2.0,2935.0,4.0,49.0,5.0,1401.0,2.0,30.0,0.0,894.0,0.0,13.0,0.0,3508.0,0.0,43.0,5.0,3241.0,1.0,38.0,1.0,3749.0,2.0,43.0,4.0
Attacking Midfield,Benny,176.0,left,Liga Portugal,Moreirense FC,476.0,2.0,12.0,1.0,3129.0,6.0,39.0,5.0,2057.0,3.0,36.0,3.0,993.0,1.0,19.0,1.0,768.0,0.0,13.0,0.0,728.0,0.0,14.0,0.0,1858.0,2.0,31.0,2.0,90.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0
Back,German Ignatov,180.0,right,Premier Liga,FC Rostov 2,437.0,0.0,8.0,0.0,2013.0,6.0,25.0,0.0,2051.0,6.0,27.0,2.0,1748.0,2.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,
Central Midfield,Liam Henderson,183.0,right,Serie A,FC Empoli,1030.0,0.0,15.0,0.0,1297.0,1.0,33.0,4.0,1060.0,0.0,26.0,1.0,2105.0,2.0,40.0,4.0,2876.0,4.0,42.0,9.0,1668.0,1.0,21.0,4.0,2027.0,3.0,30.0,5.0,1494.0,2.0,20.0,2.0,551.0,1.0,13.0,1.0
Back,Pawel Bochniewicz,194.0,left,Eredivisie,SC Heerenveen,1112.0,0.0,13.0,0.0,2443.0,3.0,31.0,2.0,3214.0,2.0,37.0,1.0,,,,,3273.0,4.0,38.0,0.0,3150.0,1.0,35.0,2.0,3152.0,1.0,36.0,1.0,1727.0,1.0,20.0,0.0,2191.0,2.0,26.0,0.0
Right Winger,Anan Khalaili,183.0,right,Jupiler Pro League,Union Saint-Gilloise,641.0,0.0,16.0,0.0,3314.0,14.0,50.0,6.0,459.0,0.0,6.0,0.0,312.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,
Defensive Midfield,Dirk Proper,167.0,right,Eredivisie,NEC Nijmegen,612.0,0.0,8.0,0.0,2845.0,7.0,33.0,4.0,2994.0,1.0,35.0,1.0,1717.0,1.0,26.0,1.0,1782.0,1.0,31.0,0.0,1562.0,0.0,22.0,1.0,1998.0,2.0,23.0,2.0,1248.0,2.0,14.0,3.0,,,,
Back,César Azpilicueta,178.0,right,LaLiga,Atlético de Madrid,482.0,0.0,6.0,0.0,1826.0,0.0,34.0,2.0,1830.0,0.0,32.0,0.0,3635.0,3.0,47.0,3.0,3619.0,1.0,43.0,3.0,4313.0,4.0,49.0,7.0,4867.0,1.0,57.0,8.0,4755.0,3.0,52.0,7.0,4098.0,2.0,47.0,6.0
Left Winger,Tidjany Touré,184.0,right,Liga Portugal,Gil Vicente FC,546.0,2.0,12.0,1.0,1184.0,3.0,30.0,1.0,1321.0,7.0,23.0,0.0,,,,,323.0,1.0,4.0,0.0,412.0,1.0,9.0,0.0,,,,,,,,,,,,
Attacking Midfield,Valeriy Tsarukyan,170.0,right,Premier Liga,FC Pari Nizhniy Novgorod,782.0,4.0,17.0,1.0,1158.0,1.0,25.0,4.0,1944.0,4.0,32.0,7.0,700.0,1.0,17.0,1.0,1494.0,4.0,24.0,4.0,119.0,0.0,12.0,0.0,,,,,,,,,,,,
Right Winger,Giuliano Simeone,173.0,right,LaLiga,Atlético de Madrid,606.0,1.0,14.0,3.0,719.0,1.0,16.0,2.0,2901.0,9.0,37.0,3.0,1.0,0.0,1.0,0.0,982.0,3.0,15.0,0.0,,,,,,,,,,,,,,,,
Right Winger,Griffin Yow,170.0,right,Jupiler Pro League,KVC Westerlo,506.0,1.0,10.0,0.0,2124.0,7.0,29.0,7.0,26.0,0.0,5.0,0.0,629.0,0.0,11.0,0.0,322.0,1.0,12.0,1.0,390.0,2.0,12.0,0.0,1200.0,3.0,19.0,0.0,,,,,,,,
Central Midfield,André Sousa,181.0,left,Liga Portugal,CD Nacional,51.0,0.0,3.0,0.0,1514.0,2.0,33.0,5.0,737.0,0.0,20.0,0.0,826.0,2.0,23.0,1.0,1231.0,1.0,27.0,2.0,2167.0,2.0,29.0,0.0,1484.0,2.0,24.0,1.0,2600.0,4.0,35.0,0.0,2270.0,1.0,35.0,1.0
Attacking Midfield,Bruninho,174.0,right,Jupiler Pro League,Cercle Brugge,601.0,1.0,15.0,2.0,536.0,1.0,13.0,1.0,1790.0,7.0,34.0,3.0,756.0,4.0,13.0,1.0,63.0,1.0,5.0,0.0,,,,,,,,,,,,,,,,
Back,Dara O'Shea,189.0,right,Premier League,Ipswich Town,1053.0,1.0,12.0,0.0,3255.0,4.0,37.0,4.0,3634.0,2.0,41.0,1.0,1180.0,2.0,16.0,0.0,2248.0,0.0,31.0,0.0,2291.0,4.0,26.0,4.0,2833.0,0.0,33.0,0.0,450.0,0.0,5.0,0.0,2293.0,1.0,27.0,0.0
Back,Attila Szalai,192.0,left,Bundesliga,TSG 1899 Hoffenheim,0.0,0.0,0.0,0.0,435.0,0.0,8.0,0.0,4630.0,3.0,52.0,2.0,3185.0,1.0,43.0,2.0,3345.0,6.0,41.0,3.0,1955.0,2.0,24.0,0.0,2366.0,2.0,30.0,2.0,1504.0,0.0,22.0,0.0,1898.0,0.0,23.0,2.0
