position,name,height,foot,current league,current club,24/25 minutes,24/25 goals,24/25 games,24/25 assists,23/24 minutes,23/24 goals,23/24 games,23/24 assists,22/23 minutes,22/23 goals,22/23 games,22/23 assists,21/22 minutes,21/22 goals,21/22 games,21/22 assists,20/21 minutes,20/21 goals,20/21 games,20/21 assists,19/20 minutes,19/20 goals,19/20 games,19/20 assists,18/19 minutes,18/19 goals,18/19 games,18/19 assists,17/18 minutes,17/18 goals,17/18 games,17/18 assists,16/17 minutes,16/17 goals,16/17 games,16/17 assists
Right Winger,Daan Rots,179.0,left,Eredivisie,Twente Enschede FC,1062.0,1.0,17.0,1.0,3114.0,9.0,40.0,10.0,1001.0,3.0,29.0,1.0,1839.0,3.0,30.0,4.0,492.0,3.0,14.0,0.0,985.0,5.0,16.0,0.0,649.0,6.0,8.0,0.0,563.0,4.0,7.0,1.0,,,,
Right Winger,Christian Rasmussen,184.0,left,Eredivisie,Ajax Amsterdam,542.0,0.0,13.0,1.0,1727.0,8.0,36.0,2.0,2373.0,9.0,32.0,2.0,2724.0,8.0,41.0,5.0,738.0,1.0,20.0,1.0,1378.0,8.0,22.0,5.0,106.0,0.0,2.0,0.0,,,,,,,,
Attacking Midfield,Óscar Rodríguez,174.0,right,LaLiga,CD Leganés,435.0,0.0,10.0,3.0,1206.0,5.0,28.0,2.0,1995.0,3.0,36.0,2.0,1554.0,0.0,33.0,1.0,1009.0,2.0,29.0,2.0,2047.0,9.0,32.0,2.0,2540.0,4.0,32.0,4.0,3437.0,10.0,42.0,7.0,587.0,1.0,8.0,0.0
Back,Ali Abdi,183.0,left,Ligue 1,OGC Nice,808.0,1.0,12.0,2.0,2948.0,9.0,33.0,1.0,2810.0,3.0,33.0,5.0,2753.0,2.0,32.0,5.0,2459.0,9.0,34.0,2.0,1354.0,0.0,18.0,0.0,2747.0,3.0,31.0,0.0,2544.0,3.0,29.0,3.0,1475.0,4.0,25.0,3.0
Forward,João Costa,185.0,right,Liga Portugal,CD Santa Clara,196.0,1.0,9.0,0.0,2510.0,24.0,34.0,3.0,1499.0,9.0,29.0,2.0,105.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
Right Winger,Bruno Almeida,172.0,left,Liga Portugal,CD Santa Clara,239.0,1.0,6.0,0.0,2280.0,15.0,37.0,5.0,1518.0,3.0,26.0,3.0,2784.0,10.0,33.0,5.0,808.0,3.0,10.0,3.0,63.0,1.0,1.0,0.0,73.0,0.0,1.0,0.0,135.0,1.0,2.0,0.0,,,,
Forward,Diego García,188.0,right,LaLiga,CD Leganés,186.0,1.0,7.0,0.0,2840.0,12.0,44.0,1.0,2895.0,13.0,37.0,0.0,2193.0,8.0,33.0,0.0,21.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,
Left Winger,Viktor Djukanovic,184.0,right,Jupiler Pro League,Standard Liège,62.0,0.0,5.0,0.0,998.0,3.0,18.0,1.0,3412.0,15.0,52.0,0.0,2117.0,13.0,39.0,6.0,815.0,3.0,23.0,1.0,,,,,,,,,,,,,,,,
Central Midfield,Kerem Demirbay,183.0,left,Süper Lig,Galatasaray,458.0,0.0,17.0,2.0,2670.0,7.0,42.0,7.0,2118.0,5.0,36.0,3.0,2590.0,3.0,36.0,7.0,2489.0,5.0,37.0,9.0,2728.0,2.0,40.0,11.0,2481.0,4.0,32.0,11.0,1854.0,2.0,27.0,6.0,2301.0,6.0,29.0,10.0
Right Winger,Suso,177.0,left,LaLiga,Sevilla FC,112.0,0.0,5.0,0.0,1753.0,1.0,34.0,5.0,1789.0,3.0,43.0,5.0,616.0,0.0,12.0,1.0,2875.0,4.0,44.0,6.0,2636.0,3.0,40.0,3.0,3447.0,8.0,41.0,10.0,3894.0,8.0,50.0,12.0,3120.0,7.0,37.0,11.0
